"NOESTIMATES",23.5
"ADAPTIVE_SOFTWARE_DEVELOPMENT",32
"AGILE_UNIFIED_PROCESS",41
"AGILE_MODELING",57
"DISCIPLINED_AGILE_DELIVERY",58.5
"LEAN_SOFTWARE_DEVELOPMENT",62.5
"SCRUMBAN",63.5
"XP",68
"DSDM",68.5
"FDD",76
"RAD",80
"KANBAN",87
"SCRUM",87.5
